id,name,property_id,host_id,neighborhood_id,zipcode,accommodates,bedrooms,minimum_nights,price,availability_30,availability_90
12593295,"Beautiful bedroom, cozy atmosphere",2,48876489,2,02130,2,1.0,1,$68.00,2,36
10004575,Pondside Spacious Condo,2,3130698,2,02130,6,3.0,1,$300.00,0,0
12855343,"Small, sweet, single-bed near T",1,12164071,2,02130,1,1.0,2,$50.00,5,46
9791506,Entire Tree-Top 1BR Condo in JP on T + Parking,3,50464388,2,02130,2,1.0,7,$119.00,0,4
5801643,Idyllic Wooded Boston Neighborhood,2,30099169,2,02130,2,1.0,2,$46.00,20,77
12888054,Arthouse in Historic Brewery District!,3,70542233,2,02130,6,2.0,3,$295.00,11,66
5676025,Entire 2 bedroom spacious apartment,2,9240847,2,02130,5,2.0,1,$130.00,0,6
6104388,Spacious & Modern in Central JP,3,1633163,2,02130,6,2.0,3,$180.00,0,6
8283433,Large newly renovated apt in perfect  JP location!,2,1264857,2,02130,7,2.0,2,$300.00,10,66
14573919,Family Friendly Home Away From Home,2,28975718,2,02130,5,2.0,2,$200.00,19,74
7495866,Hidden gem in Jamaica Plain,2,38015635,2,02130,2,1.0,4,$136.00,0,29
13623390,Cozy JP apt w/ short walk to T,2,69873384,2,02130,2,1.0,2,$100.00,0,4
3629014,Jamaica Plain's PINK ROOM,1,18190121,2,02130,5,1.0,2,$88.00,13,51
10883063,spacious 3rd floor loft in home,1,24593919,2,02130,3,1.0,2,$95.00,6,39
713627,"Retro Cool Artist's House, Parking",1,3581975,2,02130,2,1.0,5,$135.00,0,0
4105704,Sunny Private Studio Aptmt,1,21299112,2,02130,2,1.0,2,$135.00,4,36
3957602,The Hedges: Sunny urban garden home,5,2127414,2,02130,2,1.0,2,$75.00,4,39
11739985,Two Room Master Suite with Spa Bath,1,35411494,2,02130,5,2.0,1,$189.00,7,66
5874408,Cozy JP resting place,1,24337472,2,02130,2,1.0,2,$75.00,0,41
7693009,Sweet quiet room in JP condo,2,2182717,2,02130,2,1.0,2,$55.00,14,68
3775876,Private room in Jamaica Plain!,2,11487565,2,02130,2,1.0,1,$125.00,29,89
3693850,Earth Sanctuary of Abundant Health,3,18807469,2,02130,1,1.0,28,$88.00,5,36
4736217,Clean Room in the JP Neighborhood,2,16052189,2,02130,1,1.0,7,$72.00,30,90
14428514,"Affordable Boston, The dream of the 90's lives.",2,22475241,2,02130,1,1.0,1,$22.00,23,83
3021862,Luxurious Room includes Jacuzzi,1,15399126,2,02130,2,1.0,2,$90.00,14,63
4348422,Cozy Jamaica Plain Pad,2,22217451,2,02130,2,1.0,1,$150.00,0,0
973840,Quiet and close to subway!,2,5325924,2,02130,2,1.0,2,$82.00,0,4
9575439,"Close to universities, hospitals",1,49565531,2,02130,2,1.0,3,$84.00,0,0
4430821,Cheery skylit room w/ Queen bed,2,4743011,2,02130,4,2.0,1,$160.00,0,0
9591772,"Jamaica Plain condo, great location",2,29925050,2,02130,4,2.0,7,$110.00,0,0
3079305,Modern and charming condo in JP.,2,15637560,2,02130,4,2.0,2,$150.00,0,7
14474114,Cozy Room with Shared Bath,3,89230454,2,02130,2,1.0,2,$80.00,29,89
7789429,Diamond House -3- Victorian Jewel,2,3129367,2,02130,5,2.0,3,$225.00,6,63
